,day,time,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
91,2018-01-18,09:55:00,7.64,7.65,7.65,7.62,2821.4,0.01,0.13,7.656,7.666,7.684,1633.16,1285.33,879.26,0.12
92,2018-01-18,09:50:00,7.65,7.65,7.64,7.63,812.0,-0.01,-0.13,7.66,7.67,7.689,1368.25,1078.29,801.04,0.04
93,2018-01-18,09:45:00,7.67,7.68,7.65,7.62,1904.6,-0.02,-0.26,7.664,7.675,7.695,1475.25,1035.39,842.79,0.08
94,2018-01-18,09:40:00,7.67,7.69,7.67,7.65,1630.0,0.0,0.0,7.672,7.679,7.6975,1241.06,880.63,771.41,0.07
95,2018-01-18,09:35:00,7.65,7.67,7.67,7.63,997.8,0.02,0.26,7.676,7.68,7.698,1034.42,755.43,703.96,0.04
96,2018-01-17,15:00:00,7.66,7.68,7.67,7.66,1496.83,0.01,0.13,7.676,7.681,7.6985,937.5,666.93,669.57,0.06
97,2018-01-17,14:55:00,7.69,7.7,7.66,7.66,1347.0,-0.03,-0.39,7.68,7.684,7.699,788.33,557.45,612.82,0.06
98,2018-01-17,14:50:00,7.69,7.7,7.69,7.68,733.66,0.0,0.0,7.686,7.687,7.6995,595.53,461.15,573.89,0.03
99,2018-01-17,14:45:00,7.67,7.7,7.69,7.67,596.8,0.02,0.26,7.686,7.691,7.698,520.2,445.08,559.9,0.03
100,2018-01-17,14:40:00,7.69,7.69,7.67,7.67,513.2,-0.02,-0.26,7.684,7.695,7.697,476.44,487.5,551.56,0.02
101,2018-01-17,14:35:00,7.69,7.7,7.69,7.69,751.0,0.0,0.0,7.686,7.702,7.697,396.36,473.18,547.92,0.03
102,2018-01-17,14:30:00,7.69,7.7,7.69,7.69,383.0,0.0,0.0,7.688,7.708,7.696,326.56,523.78,538.02,0.02
103,2018-01-17,14:25:00,7.68,7.69,7.69,7.68,357.0,0.01,0.13,7.688,7.715,7.695,326.76,650.18,550.72,0.02
104,2018-01-17,14:20:00,7.68,7.69,7.68,7.67,378.0,0.0,0.0,7.696,7.716,7.6945,369.96,662.18,575.67,0.02
105,2018-01-17,14:15:00,7.7,7.7,7.68,7.68,112.8,-0.02,-0.26,7.706,7.716,7.6925,498.56,652.48,631.27,0.0
106,2018-01-17,14:10:00,7.69,7.7,7.7,7.67,402.0,0.01,0.13,7.718,7.716,7.6925,550.0,672.2,779.48,0.02
107,2018-01-17,14:05:00,7.73,7.73,7.69,7.69,384.0,-0.04,-0.52,7.728,7.714,7.6925,721.0,668.2,1158.03,0.02
108,2018-01-17,14:00:00,7.73,7.74,7.73,7.71,573.0,0.0,0.0,7.742,7.712,7.7025,973.6,686.64,1546.66,0.02
109,2018-01-17,13:55:00,7.75,7.75,7.73,7.73,1021.0,-0.02,-0.26,7.736,7.705,7.6905,954.4,674.73,1562.55,0.04
110,2018-01-17,13:50:00,7.75,7.75,7.74,7.72,370.0,-0.01,-0.13,7.726,7.699,7.677,806.4,615.63,1519.1,0.02
111,2018-01-17,13:45:00,7.76,7.77,7.75,7.71,1257.0,-0.01,-0.13,7.714,7.692,7.66,794.4,622.67,1512.48,0.05
112,2018-01-17,13:40:00,7.7,7.77,7.76,7.69,1647.0,0.06,0.78,7.7,7.684,7.642,615.4,552.27,1461.5,0.07
113,2018-01-17,13:35:00,7.68,7.7,7.7,7.68,477.0,0.02,0.26,7.682,7.675,7.6235,399.68,451.27,1392.05,0.02
114,2018-01-17,13:30:00,7.68,7.69,7.68,7.67,281.0,0.0,0.0,7.674,7.673,7.608,395.06,489.17,1386.5,0.01
115,2018-01-17,13:25:00,7.68,7.68,7.68,7.67,310.0,0.0,0.0,7.672,7.669,7.594,424.86,610.07,1382.15,0.01
116,2018-01-17,13:20:00,7.67,7.68,7.68,7.67,362.0,0.01,0.13,7.67,7.669,7.5805,450.94,886.77,1410.4,0.02
117,2018-01-17,13:15:00,7.66,7.68,7.67,7.65,568.4,0.01,0.13,7.668,7.671,7.5665,489.14,1647.87,1406.55,0.02
118,2018-01-17,13:10:00,7.67,7.67,7.66,7.66,453.88,-0.01,-0.13,7.668,7.693,7.5525,502.86,2406.69,1396.64,0.02
119,2018-01-17,13:05:00,7.67,7.68,7.67,7.66,430.0,0.0,0.0,7.672,7.676,7.5385,583.28,2450.38,1412.29,0.02
120,2018-01-17,11:30:00,7.67,7.68,7.67,7.66,440.4,0.0,0.0,7.666,7.655,7.5235,795.28,2422.58,1445.14,0.02
121,2018-01-17,11:25:00,7.67,7.68,7.67,7.66,553.0,0.0,0.0,7.668,7.628,7.5105,1322.6,2402.29,1470.77,0.02
122,2018-01-17,11:20:00,7.68,7.68,7.67,7.65,637.0,-0.01,-0.13,7.674,7.6,7.4985,2806.6,2370.73,1462.52,0.03
